templo,temphi,rhlo,rhhi,refMoist
-12.22222222,-1.116666667,0,4.99,1
-1.116656667,9.994444444,0,4.99,1
9.994454444,21.10555556,0,4.99,1
21.10556556,32.21666667,0,4.99,1
32.21667667,43.32777778,0,4.99,1
43.32778778,48.88888889,0,4.99,1
-12.22222222,-1.116666667,5,9.99,2
-1.116656667,9.994444444,5,9.99,2
9.994454444,21.10555556,5,9.99,2
21.10556556,32.21666667,5,9.99,1
32.21667667,43.32777778,5,9.99,1
43.32778778,48.88888889,5,9.99,1
-12.22222222,-1.116666667,10,14.99,2
-1.116656667,9.994444444,10,14.99,2
9.994454444,21.10555556,10,14.99,2
21.10556556,32.21666667,10,14.99,2
32.21667667,43.32777778,10,14.99,2
43.32778778,48.88888889,10,14.99,2
-12.22222222,-1.116666667,15,19.99,3
-1.116656667,9.994444444,15,19.99,3
9.994454444,21.10555556,15,19.99,3
21.10556556,32.21666667,15,19.99,2
32.21667667,43.32777778,15,19.99,2
43.32778778,48.88888889,15,19.99,2
-12.22222222,-1.116666667,20,24.99,4
-1.116656667,9.994444444,20,24.99,4
9.994454444,21.10555556,20,24.99,4
21.10556556,32.21666667,20,24.99,3
32.21667667,43.32777778,20,24.99,3
43.32778778,48.88888889,20,24.99,3
-12.22222222,-1.116666667,25,29.99,5
-1.116656667,9.994444444,25,29.99,5
9.994454444,21.10555556,25,29.99,5
21.10556556,32.21666667,25,29.99,4
32.21667667,43.32777778,25,29.99,4
43.32778778,48.88888889,25,29.99,4
-12.22222222,-1.116666667,30,34.99,5
-1.116656667,9.994444444,30,34.99,5
9.994454444,21.10555556,30,34.99,5
21.10556556,32.21666667,30,34.99,4
32.21667667,43.32777778,30,34.99,4
43.32778778,48.88888889,30,34.99,4
-12.22222222,-1.116666667,35,39.99,6
-1.116656667,9.994444444,35,39.99,6
9.994454444,21.10555556,35,39.99,6
21.10556556,32.21666667,35,39.99,5
32.21667667,43.32777778,35,39.99,5
43.32778778,48.88888889,35,39.99,5
-12.22222222,-1.116666667,40,44.99,7
-1.116656667,9.994444444,40,44.99,7
9.994454444,21.10555556,40,44.99,6
21.10556556,32.21666667,40,44.99,6
32.21667667,43.32777778,40,44.99,6
43.32778778,48.88888889,40,44.99,6
-12.22222222,-1.116666667,45,49.99,8
-1.116656667,9.994444444,45,49.99,7
9.994454444,21.10555556,45,49.99,7
21.10556556,32.21666667,45,49.99,7
32.21667667,43.32777778,45,49.99,7
43.32778778,48.88888889,45,49.99,7
-12.22222222,-1.116666667,50,54.99,8
-1.116656667,9.994444444,50,54.99,7
9.994454444,21.10555556,50,54.99,7
21.10556556,32.21666667,50,54.99,7
32.21667667,43.32777778,50,54.99,7
43.32778778,48.88888889,50,54.99,7
-12.22222222,-1.116666667,55,59.99,8
-1.116656667,9.994444444,55,59.99,8
9.994454444,21.10555556,55,59.99,8
21.10556556,32.21666667,55,59.99,8
32.21667667,43.32777778,55,59.99,8
43.32778778,48.88888889,55,59.99,8
-12.22222222,-1.116666667,60,64.99,9
-1.116656667,9.994444444,60,64.99,9
9.994454444,21.10555556,60,64.99,8
21.10556556,32.21666667,60,64.99,8
32.21667667,43.32777778,60,64.99,8
43.32778778,48.88888889,60,64.99,8
-12.22222222,-1.116666667,65,69.99,9
-1.116656667,9.994444444,65,69.99,9
9.994454444,21.10555556,65,69.99,9
21.10556556,32.21666667,65,69.99,8
32.21667667,43.32777778,65,69.99,8
43.32778778,48.88888889,65,69.99,8
-12.22222222,-1.116666667,70,74.99,10
-1.116656667,9.994444444,70,74.99,10
9.994454444,21.10555556,70,74.99,9
21.10556556,32.21666667,70,74.99,9
32.21667667,43.32777778,70,74.99,9
43.32778778,48.88888889,70,74.99,9
-12.22222222,-1.116666667,75,79.99,11
-1.116656667,9.994444444,75,79.99,10
9.994454444,21.10555556,75,79.99,10
21.10556556,32.21666667,75,79.99,10
32.21667667,43.32777778,75,79.99,10
43.32778778,48.88888889,75,79.99,10
-12.22222222,-1.116666667,80,84.99,12
-1.116656667,9.994444444,80,84.99,11
9.994454444,21.10555556,80,84.99,11
21.10556556,32.21666667,80,84.99,10
32.21667667,43.32777778,80,84.99,10
43.32778778,48.88888889,80,84.99,10
-12.22222222,-1.116666667,85,89.99,12
-1.116656667,9.994444444,85,89.99,12
9.994454444,21.10555556,85,89.99,12
21.10556556,32.21666667,85,89.99,11
32.21667667,43.32777778,85,89.99,11
43.32778778,48.88888889,85,89.99,11
-12.22222222,-1.116666667,90,94.99,13
-1.116656667,9.994444444,90,94.99,13
9.994454444,21.10555556,90,94.99,12
21.10556556,32.21666667,90,94.99,12
32.21667667,43.32777778,90,94.99,12
43.32778778,48.88888889,90,94.99,12
-12.22222222,-1.116666667,95,99.99,13
-1.116656667,9.994444444,95,99.99,13
9.994454444,21.10555556,95,99.99,12
21.10556556,32.21666667,95,99.99,12
32.21667667,43.32777778,95,99.99,12
43.32778778,48.88888889,95,99.99,12
-12.22222222,-1.116666667,100,200,14
-1.116656667,9.994444444,100,200,13
9.994454444,21.10555556,100,200,13
21.10556556,32.21666667,100,200,13
32.21667667,43.32777778,100,200,13
43.32778778,48.88888889,100,200,12
